DATE,TMAX,TMIN
2014-04-14,70.78571428571429,45.714285714285715
2014-04-15,50.42857142857143,27.928571428571427
2014-04-16,48.285714285714285,24.571428571428573
2014-04-17,66.5,34.57142857142857
2014-04-18,70.71428571428571,42.5
2014-04-19,64.14285714285714,41.785714285714285
2014-04-20,75.21428571428571,40.142857142857146
2014-04-21,78.14285714285714,45.57142857142857
2014-04-22,69.5,44.57142857142857
2014-04-23,57.357142857142854,37.5
2014-04-24,62.5,38.142857142857146
2014-04-25,63.92857142857143,45.0
2014-04-26,72.42857142857143,42.07142857142857
2014-04-27,66.21428571428571,40.785714285714285
2014-04-28,61.857142857142854,48.214285714285715
2014-04-29,70.0,51.5
2014-04-30,65.21428571428571,49.92857142857143
2014-05-01,59.42857142857143,46.42857142857143
2014-05-02,59.357142857142854,45.214285714285715
2014-05-03,67.42857142857143,45.357142857142854
2014-05-04,69.78571428571429,45.357142857142854
2014-05-05,63.92857142857143,41.785714285714285
2014-05-06,71.0,43.42857142857143
2014-05-07,79.0,48.857142857142854
2014-05-08,82.92857142857143,55.07142857142857
2014-05-09,79.0,59.785714285714285
2014-05-10,70.28571428571429,54.5
2014-05-11,77.71428571428571,51.714285714285715
2014-05-12,80.21428571428571,60.214285714285715
2014-05-13,84.85714285714286,61.42857142857143
2014-05-14,76.71428571428571,58.5
2014-05-15,67.5,45.42857142857143
2014-05-16,57.714285714285715,40.857142857142854
2014-05-17,57.42857142857143,40.92857142857143
2014-05-18,66.0,37.92857142857143
2014-05-19,71.0,40.57142857142857
2014-05-20,77.42857142857143,50.857142857142854
2014-05-21,79.0,60.642857142857146
2014-05-22,77.07142857142857,57.714285714285715
2014-05-23,70.21428571428571,51.42857142857143
2014-05-24,75.57142857142857,47.714285714285715
2014-05-25,80.0,50.642857142857146
2014-05-26,84.21428571428571,53.285714285714285
2014-05-27,85.21428571428571,64.71428571428571
2014-05-28,82.64285714285714,62.92857142857143
2014-05-29,79.35714285714286,60.857142857142854
2014-05-30,80.28571428571429,56.57142857142857
2014-05-31,81.71428571428571,55.214285714285715
2014-06-01,84.85714285714286,56.0
2014-06-02,81.92857142857143,66.42857142857143
2014-06-03,85.5,64.5
2014-06-04,77.14285714285714,58.5
2014-06-05,74.64285714285714,54.285714285714285
2014-06-06,78.35714285714286,50.285714285714285
2014-06-07,79.85714285714286,51.357142857142854
2014-06-08,74.71428571428571,58.0
2014-06-09,73.42857142857143,56.142857142857146
2014-06-10,78.07142857142857,58.42857142857143
2014-06-11,80.0,63.0
2014-06-12,78.42857142857143,63.07142857142857
2014-06-13,77.42857142857143,56.857142857142854
2014-06-14,75.07142857142857,49.42857142857143
2014-06-15,84.14285714285714,49.857142857142854
2014-06-16,86.92857142857143,65.42857142857143
2014-06-17,90.07142857142857,66.78571428571429
2014-06-18,89.42857142857143,66.64285714285714
2014-06-19,82.57142857142857,64.92857142857143
2014-06-20,82.28571428571429,63.5
2014-06-21,80.71428571428571,63.285714285714285
2014-06-22,83.57142857142857,61.42857142857143
2014-06-23,87.85714285714286,63.142857142857146
2014-06-24,85.78571428571429,67.78571428571429
2014-06-25,82.57142857142857,66.64285714285714
2014-06-26,83.21428571428571,63.785714285714285
2014-06-27,85.35714285714286,61.92857142857143
2014-06-28,86.35714285714286,66.35714285714286
2014-06-29,85.07142857142857,69.35714285714286
2014-06-30,86.35714285714286,67.78571428571429
2014-07-01,88.14285714285714,69.21428571428571
2014-07-02,84.57142857142857,66.85714285714286
2014-07-03,77.57142857142857,59.357142857142854
2014-07-04,78.07142857142857,54.142857142857146
2014-07-05,80.78571428571429,52.642857142857146
2014-07-06,83.14285714285714,58.07142857142857
2014-07-07,86.14285714285714,67.57142857142857
2014-07-08,83.14285714285714,67.78571428571429
2014-07-09,83.07142857142857,63.214285714285715
2014-07-10,82.92857142857143,60.0
2014-07-11,85.42857142857143,59.357142857142854
2014-07-12,86.71428571428571,62.857142857142854
2014-07-13,87.57142857142857,69.35714285714286
2014-07-14,82.92857142857143,66.85714285714286
2014-07-15,76.07142857142857,58.07142857142857
2014-07-16,72.57142857142857,53.57142857142857
2014-07-17,75.92857142857143,53.57142857142857
2014-07-18,77.57142857142857,54.285714285714285
2014-07-19,74.07142857142857,63.214285714285715
2014-07-20,81.5,62.642857142857146
